Author ID,Total Engagement,Date,tweet_id,row_num,Normalized Text,langdetect_is_english,Year
@ValkyriaRogue,25,2021-05-30 12:41:43+00:00,@ValkyriaRogue_2021-05-30T12:41:43.000Z,3074849,"fun fact: non-disableds already profit off of (things initially designed for) us disableds...  subtitles
telephone
sms
internet and emails
keyboard (stems from a typing machine)
alexa and siri (voice input/output)
audio books
plastic surgery",True,2021
@vwalter_rnk,23,2021-01-08 13:58:45+00:00,@vwalter_rnk_2021-01-08T13:58:45.000Z,2887210,"just finished  3d printing  the microscope stage i designed on  @freecadnews  , so happy with the result",True,2021
@hackaday,41,2021-02-27 00:26:07+00:00,@hackaday_2021-02-27T00:26:07.000Z,2775111,"3d printed  printing press turns you into gutenberg

a few machines have truly changed the world, such as the wheel, steam engines, or the printing press. maybe 3d printers will be on that list one day too. but for today, you can use your  3d printer  to pr...",True,2021
@OnlyAWorldAway,57,2021-07-04 14:54:16+00:00,@OnlyAWorldAway_2021-07-04T14:54:16.000Z,3041557,"if i had a  3d printer  i would simply print 3d printers for all of my friends who would then do so for all of their friends until we eliminated all scarcity, not sure why no one has thought of this",True,2021
@SkyentificTweet,42,2021-08-16 13:25:45+00:00,@SkyentificTweet_2021-08-16T13:25:45.000Z,3058960,i have designed cheap and powerful  3d printed  actuator. next plan is to improve it and make a robot arm with it. everything is explained in my new youtube video:    .  #skyentific #stepper #diy #maker,True,2021
@frankiefermi,109,2021-05-20 12:24:04+00:00,@frankiefermi_2021-05-20T12:24:04.000Z,3035170,nick knight posted a photo of the same statue of daphne guinness that was  3d printed  last year at harrods for fw & i asked if the statue of gaga from the brits - that was started on the last day - would see the light of the day & replied: ‘we are printing gaga again really soon’,True,2021
@joeltelling,35,2021-05-31 02:25:52+00:00,@joeltelling_2021-05-31T02:25:52.000Z,3074426,update on the  @prusa3d  mini legs in  @atomicfilament  cf petg,True,2021
@Yamishizen,347,2022-04-30 18:04:31+00:00,@Yamishizen_2022-04-30T18:04:31.000Z,6627935,"zephyrs head is complete! lots of features including 

-magnetic hair
-piercings
-appliquéd symbols on ears
-double horns
-double magnetic tongues
-2 sets of magnetic lids (with eyelashes on one)
-whiskers
- 3d printed  removable gauges
-magnetic septum
-led eyes",True,2022
@3DPProfessor,40,2022-12-30 21:17:56+00:00,@3DPProfessor_2022-12-30T21:17:56.000Z,6328470,when your  3d printer  doesn't have a filament out detector...,True,2022
@sjpiper145,79,2022-06-23 09:19:44+00:00,@sjpiper145_2022-06-23T09:19:44.000Z,6599741,"crystal dragon  3d print  w/ quantum filament, super happy with how this came out!",True,2022
@ebc54VeQ3cZ5Z4m,36,2022-05-03 10:52:31+00:00,@ebc54VeQ3cZ5Z4m_2022-05-03T10:52:31.000Z,6523694,"patreon 2022 may reward  :eldenring ranni animal crossing mesugaki ankha
if you donate, you can receive the stl file. for  3d print  ing=true ...",True,2022
@joeltelling,44,2022-03-06 03:03:05+00:00,@joeltelling_2022-03-06T03:03:05.000Z,6447125,it’s working now - and i got it to this point. here is a   on what happened...,True,2022
@mryeester,38,2022-02-24 06:23:38+00:00,@mryeester_2022-02-24T06:23:38.000Z,6496630,"i just bought a  3d printer , what's the first thing i should make??",True,2022
@phaseknight_,1128,2022-02-01 19:04:44+00:00,@phaseknight__2022-02-01T19:04:44.000Z,6611228,"y’all have been so incredibly kind about my laudna that i’ve decided to fully make keyleth next, mantle and all. get ready my dudes. 

hammer, scissors, and spool  3d printed  by  @gladlyinfinite  and finished by me.  #laudnacosplay #criticalrole #criticalrolecosplay",True,2022
@GaleWarrior,35,2022-01-01 23:24:03+00:00,@GaleWarrior_2022-01-01T23:24:03.000Z,6650687,"darkon 3d models & project ideas. 
i was going to render a scene of the garden, but scrapped the idea in favor of  3d printing  a statue.",True,2022
@KinarOfficial,23,2022-10-29 06:34:28+00:00,@KinarOfficial_2022-10-29T06:34:28.000Z,6443788,"if you leave a problem alone long enough, it might just fix itself -  3d printing",True,2022
@kamlesm,43,2022-04-25 11:49:06+00:00,@kamlesm_2022-04-25T11:49:06.000Z,6665741,"it's not just a multistorey building! nor  3d print . it's  #stepwell  baori
traditional method for conservation of  #water  or  #rainwater  harvesting continued till british came in india 
architecture art benevolence all at one place",True,2022
